神策 ID,设备 ID,登录 ID,activity_user_type,app_first_login_time,channel_name,client_type,community_id
1062892013449529402,28ed06266ef8e1cff4e25b2f382b68b2,28ed06266ef8e1cff4e25b2f382b68b2,4.0,2017-11-10 13:06:58.000,,,
8531411378764388460,29844b5b2a64d439c4544eaf80378a4d,29844b5b2a64d439c4544eaf80378a4d,2.0,2018-04-26 09:41:13.000,,official_web,shanghai
3260989696031110986,2bdfebe3652535a610284e70bddccaf8,2bdfebe3652535a610284e70bddccaf8,2.0,2018-11-28 23:18:48.000,,h5,chengdu
-3551348751789357377,2bf468b13352b2907599bcba96a1871c,2bf468b13352b2907599bcba96a1871c,2.0,2018-06-17 10:49:22.000,,h5,suzhou
-582752453428776521,2f0b562657a360d6,0ed299bc85b860fd9b4c7511b8e79926,2.0,2018-07-19 18:31:35.000,,h5,hangzhou
8726855923349162062,3123024100aeaeaa58d94c1ebcbf7917,3123024100aeaeaa58d94c1ebcbf7917,2.0,2016-08-24 10:00:42.000,,h5,xiamen
6018025360356422082,3246F002-63C5-4C28-8F64-F2A2073C95B5,45d3b1cf592523c3e1ffef8466200e57,,2020-02-21 00:36:27.000,,,shanghai
-8421759865255386163,327f5981937869554bdf2bb47dd7cc82,327f5981937869554bdf2bb47dd7cc82,2.0,2016-08-19 14:35:20.000,,h5,beijing
4724532558443697743,3713da8174bd8a6a9d98aa6dff58007d,3713da8174bd8a6a9d98aa6dff58007d,2.0,2018-05-04 20:02:01.000,,h5,wuhan
-5156682027295277331,3ccec497035cc42594aaf1c79499234a,3ccec497035cc42594aaf1c79499234a,2.0,2018-04-19 18:23:50.000,,h5,hangzhou
-4498408037309539126,3ffac268c1e1e944a8e2987e418b7352,3ffac268c1e1e944a8e2987e418b7352,2.0,2016-08-21 18:39:22.000,,h5,suzhou
8409332190940706084,405fec7e055f9f48263a02c5eebf9355,405fec7e055f9f48263a02c5eebf9355,2.0,2018-05-11 19:59:15.000,,h5,suzhou
4300321123015676938,42d4cf7ea5a0fec4708c9a710909b14e,42d4cf7ea5a0fec4708c9a710909b14e,2.0,2016-07-23 13:25:04.000,,h5,wuhan
8157190941700660754,4437995e54421e58580e927565bafcb6,4437995e54421e58580e927565bafcb6,2.0,2017-12-31 19:46:36.000,,h5,hangzhou
6539316825978822606,449084c73c6d6e53015045df8ca66eac,449084c73c6d6e53015045df8ca66eac,3.0,2018-01-13 11:18:16.000,,h5,beijing
-5008311271478177151,467784b30c1edd3a138d61a82d6bb133,467784b30c1edd3a138d61a82d6bb133,1.0,2017-03-14 15:11:18.000,,h5,hangzhou
4945632304394503435,47993a66fe83f4b5e8a20f8b94c0206c,47993a66fe83f4b5e8a20f8b94c0206c,4.0,2019-01-28 12:56:31.000,,,
-3488632257173647181,48d68396379b32e672465a6ea522b141,48d68396379b32e672465a6ea522b141,3.0,2018-11-10 11:33:03.000,,h5,guangzhou
-5594404954713855656,49816374c240b6999ef9e1312ff512f6,49816374c240b6999ef9e1312ff512f6,2.0,2018-07-30 12:39:11.000,,h5,suzhou
-1379759981290593423,4bc873c3775f1d86,ce9c1ccb519b2be4b821db3ef22dec6e,3.0,2019-01-04 22:19:29.000,,h5,beijing
2300318381184957804,4c60cb11e10da571d7c152e72e09f5be,4c60cb11e10da571d7c152e72e09f5be,2.0,2019-03-26 11:42:18.000,,h5,guangzhou
-3246632692492875507,4df151ab9cd80960,69e8ecf5d07fea5fa78b841f9a288f64,2.0,2018-11-10 08:13:07.000,,h5,wuhan
7202386952510010048,50d70b6a7bcb5adcb9bfc2189bad887f,50d70b6a7bcb5adcb9bfc2189bad887f,2.0,2016-07-19 21:11:41.000,,h5,xiamen
-2470797762646779142,50fe48cf6728b25585167749dea7a173,50fe48cf6728b25585167749dea7a173,3.0,2017-12-21 14:57:54.000,,h5,shanghai
-4688033265173549009,52abcb9f9e5a39b31f1364cfecc8b1d8,52abcb9f9e5a39b31f1364cfecc8b1d8,2.0,2018-07-10 11:02:16.000,,h5,zhengzhou
-8828959207903814447,5550bf9551a922e0c872e58bb6594823,5550bf9551a922e0c872e58bb6594823,1.0,2018-06-17 11:36:13.000,,,shanghai
733091834531474324,57238690a73b41d31ad5edbbd60e725f,57238690a73b41d31ad5edbbd60e725f,2.0,2016-07-19 18:50:23.000,,h5,guangzhou
-475205337109312934,575c87b1e6a1a29b786ad6d2ea060153,575c87b1e6a1a29b786ad6d2ea060153,2.0,2016-08-01 23:18:12.000,,h5,zhengzhou
4345488143711580340,5797f0e7b47052f218acf89db87ddf85,5797f0e7b47052f218acf89db87ddf85,3.0,2017-09-12 23:36:43.000,,,guangzhou
-4357930073557767812,587899c4ce732b96,e7cd81c823f74f99fd1d49826093d411,3.0,2018-11-21 18:47:46.000,,h5,zhengzhou
-9184051841888517149,58E22E78-DE6A-446E-82B4-1CB8E1584452,5f0a0030dd23426cb8f1092db150790e,3.0,2019-04-01 22:13:25.000,,h5,guangzhou
